property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,Latitude,Longitude
flat,imperia the esfera,sector 37c,0.7,4878.0,2,3,3+,12.0,Under Construction,1299.0,1,0,0,0,1,2,58,"28.4515° N, 76.9882° E",28.4515,76.9882
flat,tulip purple,sector 69,1.8,9000.0,4,5,3+,4.0,Relatively New,2200.0,0,1,0,0,0,2,165,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,shri banke bihari society★,sector 56,1.35,6750.0,3,3,3,5.0,Old Property,1800.0,0,0,0,0,1,1,82,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,dlf the ultima★,sector 81,2.28,10842.0,3,3,3+,14.0,Relatively New,1750.0,0,1,0,0,0,0,49,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,not applicable,sector 12,0.42,622.0,2,2,1,3.0,Relatively New,6750.0,0,0,0,0,0,1,26,"28.4723° N, 77.0320° E",28.4723,77.032
flat,pareena coban residences,sector 99a,1.35,6760.0,3,5,3,6.0,New Property,1807.0,0,1,0,0,1,2,60,"28.4561° N, 76.9542° E",28.4561,76.9542
flat,mm soulitude,sector 89,1.33,1887.0,3,3,3,4.0,Under Construction,870.0,1,0,0,0,0,2,125,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,la vida by tata housing,sector 113,1.45,11364.0,2,2,2,6.0,Relatively New,1080.0,0,0,0,0,0,2,80,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,bhagwati sadan,sector 12,1.15,5500.0,3,4,2,2.0,Old Property,2091.0,0,1,0,0,1,2,0,"28.4723° N, 77.0320° E",28.4723,77.032
flat,shree vardhman victoria★,sector 70,1.8,9231.0,3,3,3+,10.0,New Property,1765.0,0,0,0,0,1,1,49,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,tulip violet★,sector 69,1.72,8731.0,4,4,1,12.0,Relatively New,1783.0,0,0,0,0,0,2,86,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,dlf new town heights ★,sector 90,1.42,4865.0,4,4,3+,8.0,Moderately Old,2139.0,0,1,1,0,0,2,31,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,adani mk oyster grande★,sector 102,1.95,7561.0,3,4,3,9.0,Relatively New,2334.0,1,1,0,0,0,1,83,"28.4750° N, 76.9715° E",28.475,76.9715
